"1","1","5","2019-07-01","2019-07-01","2","2","Dibawa OB"
"2","1","3","2019-07-01","2019-07-05","2","1","ok"
"3","1","2","2019-07-02","2019-07-02","2","2","Ok"
"6","5","7","2019-07-03","2019-07-11","2","1",
"7","2","5","2019-07-03","2019-07-12","2","1","ok"
"8","6","8","2019-07-04","2019-07-04","2","1","Hilang"
"9","7","4","2019-07-04","2019-07-12","2","1","Ok"
"10","1","3","2019-07-11","2019-07-11","2","1","Ok"
"11","7","3","2019-07-11","2019-07-25","2","1","Ok"
"12","1","9","2019-07-11","2019-07-25","2","1","Ok"
"13","1","8","2019-07-12","2019-07-25","2","1","Ok"
"14","7","4","2019-07-25","2019-07-25","2","1","Ok"
"19","1","8","2019-07-26","2019-07-26","2","1","ok"
"20","7","2","2019-07-26","2019-07-26","2","2","Ob"
"21","1","3","2019-07-26","0000-00-00","1","0",
"22","1","7","2019-07-26","0000-00-00","1","0",
